reportdate,hospital,dphcategory,covidstatus,patientcount,data_as_of,data_loaded_at
2020/06/22,All SF Hospitals,ICU,COVID+,8,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/06/22,All SF Hospitals,Med/Surg,COVID+,21,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/06/23,All SF Hospitals,ICU,COVID+,9,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/06/23,All SF Hospitals,Med/Surg,COVID+,22,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/06/24,All SF Hospitals,ICU,COVID+,10,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/06/24,All SF Hospitals,Med/Surg,COVID+,18,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/06/25,All SF Hospitals,ICU,COVID+,11,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/06/25,All SF Hospitals,Med/Surg,COVID+,26,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/06/26,All SF Hospitals,ICU,COVID+,13,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/06/26,All SF Hospitals,Med/Surg,COVID+,25,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/06/27,All SF Hospitals,ICU,COVID+,13,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/06/27,All SF Hospitals,Med/Surg,COVID+,30,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/06/28,All SF Hospitals,ICU,COVID+,13,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/06/28,All SF Hospitals,Med/Surg,COVID+,33,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/06/29,All SF Hospitals,ICU,COVID+,17,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/06/29,All SF Hospitals,Med/Surg,COVID+,32,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/06/30,All SF Hospitals,ICU,COVID+,19,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/06/30,All SF Hospitals,Med/Surg,COVID+,31,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/01,All SF Hospitals,ICU,COVID+,16,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/01,All SF Hospitals,Med/Surg,COVID+,34,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/02,All SF Hospitals,ICU,COVID+,14,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/02,All SF Hospitals,Med/Surg,COVID+,37,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/03,All SF Hospitals,ICU,COVID+,15,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/03,All SF Hospitals,Med/Surg,COVID+,36,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/04,All SF Hospitals,ICU,COVID+,15,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/04,All SF Hospitals,Med/Surg,COVID+,38,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/05,All SF Hospitals,ICU,COVID+,17,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/05,All SF Hospitals,Med/Surg,COVID+,38,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/06,All SF Hospitals,ICU,COVID+,13,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/06,All SF Hospitals,Med/Surg,COVID+,45,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/06,All SF Hospitals,Med/Surg,PUI,13,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/07,All SF Hospitals,ICU,COVID+,15,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/07,All SF Hospitals,Med/Surg,COVID+,46,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/07,All SF Hospitals,Med/Surg,PUI,12,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/08,All SF Hospitals,ICU,COVID+,17,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/08,All SF Hospitals,Med/Surg,COVID+,45,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/09,All SF Hospitals,ICU,COVID+,19,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/09,All SF Hospitals,Med/Surg,COVID+,40,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/10,All SF Hospitals,ICU,COVID+,22,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/10,All SF Hospitals,Med/Surg,COVID+,40,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/11,All SF Hospitals,ICU,COVID+,25,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/11,All SF Hospitals,Med/Surg,COVID+,45,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/12,All SF Hospitals,ICU,COVID+,23,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/12,All SF Hospitals,Med/Surg,COVID+,51,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/13,All SF Hospitals,ICU,COVID+,19,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/13,All SF Hospitals,Med/Surg,COVID+,57,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/14,All SF Hospitals,ICU,COVID+,23,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/14,All SF Hospitals,Med/Surg,COVID+,63,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/15,All SF Hospitals,ICU,COVID+,21,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/15,All SF Hospitals,Med/Surg,COVID+,59,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/16,All SF Hospitals,ICU,COVID+,20,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/16,All SF Hospitals,Med/Surg,COVID+,63,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/17,All SF Hospitals,ICU,COVID+,27,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/17,All SF Hospitals,Med/Surg,COVID+,56,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/18,All SF Hospitals,ICU,COVID+,29,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/18,All SF Hospitals,Med/Surg,COVID+,61,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/19,All SF Hospitals,ICU,COVID+,24,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/19,All SF Hospitals,Med/Surg,COVID+,66,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/20,All SF Hospitals,ICU,COVID+,24,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/20,All SF Hospitals,Med/Surg,COVID+,66,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/21,All SF Hospitals,ICU,COVID+,27,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/21,All SF Hospitals,Med/Surg,COVID+,67,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/22,All SF Hospitals,ICU,COVID+,29,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/22,All SF Hospitals,Med/Surg,COVID+,69,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/23,All SF Hospitals,ICU,COVID+,26,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/23,All SF Hospitals,Med/Surg,COVID+,73,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/24,All SF Hospitals,ICU,COVID+,27,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/24,All SF Hospitals,Med/Surg,COVID+,75,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/25,All SF Hospitals,ICU,COVID+,28,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/25,All SF Hospitals,Med/Surg,COVID+,73,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/26,All SF Hospitals,ICU,COVID+,33,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/26,All SF Hospitals,Med/Surg,COVID+,71,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/27,All SF Hospitals,ICU,COVID+,36,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/27,All SF Hospitals,Med/Surg,COVID+,73,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/28,All SF Hospitals,ICU,COVID+,37,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/29,All SF Hospitals,ICU,COVID+,37,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/29,All SF Hospitals,Med/Surg,COVID+,68,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/30,All SF Hospitals,ICU,COVID+,38,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/30,All SF Hospitals,Med/Surg,COVID+,72,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/31,All SF Hospitals,ICU,COVID+,35,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/07/31,All SF Hospitals,Med/Surg,COVID+,68,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/08/01,All SF Hospitals,ICU,COVID+,32,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/08/02,All SF Hospitals,ICU,COVID+,34,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/08/03,All SF Hospitals,ICU,COVID+,32,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/08/04,All SF Hospitals,ICU,COVID+,31,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/08/05,All SF Hospitals,ICU,COVID+,29,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/08/06,All SF Hospitals,ICU,COVID+,29,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/08/07,All SF Hospitals,ICU,COVID+,27,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/08/08,All SF Hospitals,ICU,COVID+,30,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/08/09,All SF Hospitals,ICU,COVID+,27,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/08/10,All SF Hospitals,ICU,COVID+,31,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/08/11,All SF Hospitals,ICU,COVID+,30,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/08/12,All SF Hospitals,ICU,COVID+,32,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/08/13,All SF Hospitals,ICU,COVID+,32,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/08/13,All SF Hospitals,Med/Surg,COVID+,65,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/08/14,All SF Hospitals,ICU,COVID+,36,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/08/14,All SF Hospitals,Med/Surg,COVID+,47,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/08/15,All SF Hospitals,ICU,COVID+,31,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/08/15,All SF Hospitals,Med/Surg,COVID+,55,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/08/16,All SF Hospitals,ICU,COVID+,34,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/08/17,All SF Hospitals,ICU,COVID+,34,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/08/18,All SF Hospitals,ICU,COVID+,37,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/08/19,All SF Hospitals,ICU,COVID+,37,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/08/19,All SF Hospitals,Med/Surg,COVID+,68,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/08/20,All SF Hospitals,ICU,COVID+,33,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/08/20,All SF Hospitals,Med/Surg,COVID+,64,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/08/21,All SF Hospitals,ICU,COVID+,33,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/08/22,All SF Hospitals,ICU,COVID+,35,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/08/22,All SF Hospitals,Med/Surg,PUI,10,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/08/30,All SF Hospitals,Med/Surg,COVID+,46,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/10/30,All SF Hospitals,Med/Surg,COVID+,26,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/10/31,All SF Hospitals,Med/Surg,COVID+,24,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/11/01,All SF Hospitals,Med/Surg,COVID+,23,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/11/02,All SF Hospitals,Med/Surg,COVID+,22,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/11/03,All SF Hospitals,Med/Surg,COVID+,20,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/11/04,All SF Hospitals,Med/Surg,COVID+,23,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/11/05,All SF Hospitals,Med/Surg,COVID+,26,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/11/10,All SF Hospitals,Med/Surg,COVID+,29,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/11/10,All SF Hospitals,Med/Surg,PUI,6,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/11/11,All SF Hospitals,Med/Surg,COVID+,28,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/11/12,All SF Hospitals,Med/Surg,COVID+,28,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/11/18,All SF Hospitals,Med/Surg,COVID+,30,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/11/19,All SF Hospitals,Med/Surg,COVID+,38,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/11/22,All SF Hospitals,ICU,COVID+,14,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/11/22,All SF Hospitals,Med/Surg,COVID+,40,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/11/23,All SF Hospitals,ICU,COVID+,18,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/11/24,All SF Hospitals,ICU,COVID+,19,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/11/25,All SF Hospitals,ICU,COVID+,19,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/11/26,All SF Hospitals,ICU,COVID+,24,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/11/27,All SF Hospitals,ICU,COVID+,22,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/11/27,All SF Hospitals,ICU,PUI,1,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/11/27,All SF Hospitals,Med/Surg,COVID+,52,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/11/28,All SF Hospitals,ICU,COVID+,22,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/11/28,All SF Hospitals,Med/Surg,COVID+,59,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/11/29,All SF Hospitals,ICU,COVID+,24,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/11/29,All SF Hospitals,Med/Surg,COVID+,63,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/11/30,All SF Hospitals,ICU,COVID+,24,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/11/30,All SF Hospitals,Med/Surg,COVID+,61,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/01,All SF Hospitals,ICU,COVID+,26,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/01,All SF Hospitals,Med/Surg,COVID+,67,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/02,All SF Hospitals,ICU,COVID+,32,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/02,All SF Hospitals,Med/Surg,COVID+,63,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/03,All SF Hospitals,ICU,COVID+,31,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/03,All SF Hospitals,Med/Surg,COVID+,66,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/04,All SF Hospitals,ICU,COVID+,34,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/04,All SF Hospitals,Med/Surg,COVID+,79,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/04,All SF Hospitals,Med/Surg,PUI,5,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/05,All SF Hospitals,ICU,COVID+,32,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/05,All SF Hospitals,Med/Surg,COVID+,81,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/06,All SF Hospitals,ICU,COVID+,31,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/06,All SF Hospitals,Med/Surg,COVID+,85,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/07,All SF Hospitals,ICU,COVID+,30,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/07,All SF Hospitals,Med/Surg,COVID+,89,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/08,All SF Hospitals,ICU,COVID+,32,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/08,All SF Hospitals,Med/Surg,COVID+,93,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/09,All SF Hospitals,ICU,COVID+,33,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/09,All SF Hospitals,Med/Surg,COVID+,91,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/10,All SF Hospitals,ICU,COVID+,33,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/10,All SF Hospitals,Med/Surg,COVID+,101,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/11,All SF Hospitals,ICU,COVID+,36,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/11,All SF Hospitals,Med/Surg,COVID+,101,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/12,All SF Hospitals,ICU,COVID+,37,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/12,All SF Hospitals,Med/Surg,COVID+,109,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/13,All SF Hospitals,ICU,COVID+,40,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/13,All SF Hospitals,Med/Surg,COVID+,118,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/14,All SF Hospitals,ICU,COVID+,42,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/15,All SF Hospitals,ICU,COVID+,41,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/16,All SF Hospitals,ICU,COVID+,39,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/16,All SF Hospitals,Med/Surg,COVID+,124,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/17,All SF Hospitals,ICU,COVID+,41,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/18,All SF Hospitals,ICU,COVID+,40,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/19,All SF Hospitals,ICU,COVID+,43,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/19,All SF Hospitals,Med/Surg,COVID+,136,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/20,All SF Hospitals,ICU,COVID+,46,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/20,All SF Hospitals,Med/Surg,COVID+,127,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/21,All SF Hospitals,ICU,COVID+,49,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/21,All SF Hospitals,Med/Surg,COVID+,118,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/22,All SF Hospitals,ICU,COVID+,47,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/23,All SF Hospitals,ICU,COVID+,54,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/24,All SF Hospitals,ICU,COVID+,51,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/25,All SF Hospitals,ICU,COVID+,49,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/26,All SF Hospitals,ICU,COVID+,48,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/27,All SF Hospitals,ICU,COVID+,50,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/28,All SF Hospitals,ICU,COVID+,54,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/29,All SF Hospitals,ICU,COVID+,56,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/29,All SF Hospitals,Med/Surg,COVID+,164,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/30,All SF Hospitals,ICU,COVID+,53,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/30,All SF Hospitals,Med/Surg,COVID+,163,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/31,All SF Hospitals,ICU,COVID+,53,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/12/31,All SF Hospitals,Med/Surg,COVID+,162,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2021/01/01,All SF Hospitals,ICU,COVID+,55,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2021/01/01,All SF Hospitals,Med/Surg,COVID+,163,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2021/01/02,All SF Hospitals,ICU,COVID+,53,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2021/01/02,All SF Hospitals,Med/Surg,COVID+,157,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2021/01/03,All SF Hospitals,ICU,COVID+,53,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2021/01/03,All SF Hospitals,Med/Surg,COVID+,161,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2021/01/04,All SF Hospitals,ICU,COVID+,60,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2021/01/04,All SF Hospitals,Med/Surg,COVID+,162,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2021/01/05,All SF Hospitals,ICU,COVID+,58,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2021/01/05,All SF Hospitals,Med/Surg,COVID+,176,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2021/01/06,All SF Hospitals,ICU,COVID+,58,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2021/01/06,All SF Hospitals,Med/Surg,COVID+,183,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2021/01/07,All SF Hospitals,ICU,COVID+,60,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2021/01/07,All SF Hospitals,Med/Surg,COVID+,182,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2021/01/08,All SF Hospitals,ICU,COVID+,59,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2021/01/08,All SF Hospitals,Med/Surg,COVID+,180,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2021/01/09,All SF Hospitals,ICU,COVID+,58,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2021/01/09,All SF Hospitals,Med/Surg,COVID+,195,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2021/01/10,All SF Hospitals,ICU,COVID+,57,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2021/01/10,All SF Hospitals,Med/Surg,COVID+,192,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
